[]
[4, 2412]
         1439833 function calls (1436449 primitive calls) in 5.503 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
       72    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
       72    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1099(create)
     72/1    0.000    0.000    5.499    5.499 <frozen importlib._bootstrap>:1122(_exec)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
     75/1    0.001    0.000    5.499    5.499 <frozen importlib._bootstrap>:1186(_load_unlocked)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1266(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1287(load_module)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:129(_new_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1311(is_package)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(find_spec)
       73    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1401(_open_registry)
       73    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1408(_search_registry)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
       73    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1423(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__enter__)
     72/1    0.000    0.000    5.499    5.499 <frozen importlib._bootstrap>:1465(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:148(<genexpr>)
       72    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap>:1534(get_code)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1591(__init__)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1616(get_filename)
       72    0.011    0.000    0.014    0.000 <frozen importlib._bootstrap>:1621(get_data)
       72    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:1631(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1697(__init__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1708(load_module)
       75    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:172(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1726(is_package)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1729(<genexpr>)
       15    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:1853(_path_hooks)
      112    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
       73    0.000    0.000    0.039    0.001 <frozen importlib._bootstrap>:1902(_get_spec)
      133    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:192(acquire)
       73    0.000    0.000    0.039    0.001 <frozen importlib._bootstrap>:1934(find_spec)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1979(__init__)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1985(<genexpr>)
       73    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
      102    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap>:2016(find_spec)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2090(<setcomp>)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2102(path_hook_for_FileFinder)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2120(__enter__)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2124(__exit__)
       75    0.001    0.000    0.046    0.001 <frozen importlib._bootstrap>:2147(_find_spec)
      133    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:217(release)
     75/1    0.001    0.000    5.499    5.499 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
     75/1    0.001    0.000    5.499    5.499 <frozen importlib._bootstrap>:2234(_find_and_load)
  219/166    0.000    0.000    5.421    0.033 <frozen importlib._bootstrap>:2264(_handle_fromlist)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:257(__init__)
       75    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:261(__enter__)
       75    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:268(__exit__)
      133    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:288(cb)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
